Model,dir_name,WidowX_avg,CKNNA_proprio_imgtext_k10,CKNNA_proprio_img_k10,CKNNA_proprio_txt_k10,CKNNA_action_imgtext_k10,CKNNA_action_img_k10,CKNNA_action_txt_k10,MutualKNN_proprio_imgtext_k10,MutualKNN_proprio_img_k10,MutualKNN_proprio_txt_k10,MutualKNN_action_imgtext_k10,MutualKNN_action_img_k10,MutualKNN_action_txt_k10
Qwen2.5-GR00T-Bridge,Qwen-GR00T-Bridge,71.4,0.1167626390416745,0.11307604782766946,0.07266343222688293,0.11127076538172503,0.09583051723203327,0.08839841660186067,0.09393999725580215,0.09388000518083572,0.035360001027584076,0.09651999920606613,0.08218000084161758,0.04966000095009804
Qwen2.5-GR00T-Bridge-RT-1,Qwen-GR00T-Bridge-RT-1,63.6,0.10802491745604217,0.10692153131828644,0.07267771141493842,0.048933522136680334,0.04243478048771521,0.03845919619342483,0.09202000498771667,0.09154000133275986,0.035020001232624054,0.04938000440597534,0.0421999990940094,0.0240200012922287
Qwen3-GR00T-Bridge-RT-1,Qwen3VL-GR00T-Bridge-RT-1,65.3,0.09868722111070637,0.0968132864779261,0.0654091928463824,0.08439418809001027,0.06939716231565997,0.07048389416244978,0.07999999821186066,0.08201999962329865,0.033080000430345535,0.0731000006198883,0.06087999790906906,0.039340000599622726
Qwen2.5-FAST-Bridge-RT-1,Qwen-FAST-Bridge-RT-1,58.6,0.08131133674210494,0.08401022879969064,0.055164202030448035,0.05026579277053051,0.04428677894593784,0.03439894643910063,0.06445999443531036,0.0663599967956543,0.030740002170205116,0.04182000085711479,0.03594000265002251,0.02142000012099743
Qwen2.5-OFT-Bridge-RT-1,Qwen-OFT-Bridge-RT-1,44.2,0.07712650396911434,0.07616476380331931,0.05693174991847294,0.2283143780054903,0.20185203999715068,0.1695580326625921,0.06537999957799911,0.06413999944925308,0.03226000443100929,0.19120000302791595,0.16826000809669495,0.09919999539852142
Qwen3-OFT-Bridge-RT-1,Qwen3VL-OFT-Bridge-RT-1,42.7,0.0723624631057528,0.07406966114125743,0.052067886523737374,0.19139550146147954,0.14507267831118434,0.12667044213643402,0.06098000332713127,0.062139999121427536,0.02964000217616558,0.16874000430107117,0.12554000318050385,0.0831800028681755
spatialvla-sft-bridge,spatialvla-sft-bridge,42.7,0.11473555977403405,0.11431777929977613,0.08465496728639968,0.2358916576270557,0.2335047899137014,0.19853193447831896,0.07500000298023224,0.07487999647855759,0.035440001636743546,0.1136000007390976,0.11236000806093216,0.052640002220869064
pi0-lerobot-bridge,pi0-lerobot-bridge,47.9,0.05510257260451934,0.05504327894018169,0.05595527878344887,0.46990897371063894,0.46944348332121916,0.3840689133892146,0.04319999739527702,0.04319999739527702,0.030659999698400497,0.4242599606513977,0.42433997988700867,0.23862001299858093
openvla-7b-bridge,openvla-7b-bridge,1.0,0.09070714695448928,0.08981647248885147,0.08993539568546208,0.3427878145207343,0.33390288235743826,0.46085679580930633,0.06654000282287598,0.06638000160455704,0.04399999976158142,0.2368600070476532,0.23414000868797302,0.287200003862381
openvla-7b-bridge-ft-200k,openvla-7b-bridge-ft-200k,10.4,0.085257458818176,0.08414776152791016,0.08669581580349837,0.26635888878306746,0.2623370733474034,0.37331667438443383,0.06738000363111496,0.06734000146389008,0.04122000187635422,0.20486000180244446,0.20358000695705414,0.22378000617027283
CogACT-Small,cogact-small-bridge,51.0,0.0924073796984447,0.09218376260293575,0.07975470704823263,0.9989581210762767,0.943358141358608,0.34304317124978473,0.08024000376462936,0.07986000180244446,0.0449800007045269,1.0,0.9351999759674072,0.2003600001335144
CogACT-Base,cogact-base-bridge,51.3,0.08809910200003307,0.08725385047504339,0.08652580631564882,0.9988618368667733,0.9404891858256199,0.4242215543937326,0.07454000413417816,0.07449999451637268,0.04814000055193901,1.0,0.9264000058174133,0.26589998602867126
CogACT-Large,cogact-large-bridge,58.3,0.0898709335809546,0.08870361115470464,0.08957580908616061,0.998782315248234,0.9329542050986278,0.4452917614072938,0.0764399990439415,0.07546000182628632,0.04859999939799309,1.0,0.918380081653595,0.2741200029850006
GR00T-N1.5-Bridge,groot-n15-bridge,36.5,0.06093810911926082,0.06081993256588296,0.04711573369677316,0.009192317323488169,0.008831709644629596,0.008760237999109594,0.05114000290632248,0.050680000334978104,0.029559999704360962,0.010319999419152737,0.01013999991118908,0.007859999313950539
GR00T-N1.6-Bridge,groot-n16-bridge,57.1,0.0987205113908603,0.1003764786660983,0.039169962276321496,0.28038902789624387,0.2796515877698881,0.1397333672765493,0.07607999444007874,0.07698000222444534,0.01995999924838543,0.21196000277996063,0.21132001280784607,0.06616000086069107
RT-1-X,rt1x-bridge,0.0,0.08947193802848886,,,0.998923359421918,,,0.07586000114679337,,,1.0,,
Octo-base,octo-base-bridge,20.3,0.10279991061942234,,,0.9983993818147973,,,0.08083999902009964,,,1.0,,
