Model,dir_name,WidowX_avg,CKNNA_proprio_imgtext_k10,CKNNA_proprio_img_k10,CKNNA_proprio_txt_k10,CKNNA_action_imgtext_k10,CKNNA_action_img_k10,CKNNA_action_txt_k10,MutualKNN_proprio_imgtext_k10,MutualKNN_proprio_img_k10,MutualKNN_proprio_txt_k10,MutualKNN_action_imgtext_k10,MutualKNN_action_img_k10,MutualKNN_action_txt_k10
Qwen2.5-GR00T-Bridge,Qwen-GR00T-Bridge,71.4,0.11100667688267232,0.10923094561831553,0.09280841524474691,0.13712732721176144,0.11346449248567227,0.11217582766498291,0.08855029195547104,0.08982249349355698,0.05529585853219032,0.1168639063835144,0.09505916386842728,0.07710058987140656
Qwen2.5-GR00T-Bridge-RT-1,Qwen-GR00T-Bridge-RT-1,63.6,0.10261783803370067,0.10196175850754793,0.09284787759490713,0.058097942064188605,0.04949034890255366,0.04929079378761525,0.08760355412960052,0.08772189170122147,0.05508876219391823,0.05736686661839485,0.047396447509527206,0.037159763276576996
Qwen3-GR00T-Bridge-RT-1,Qwen3VL-GR00T-Bridge-RT-1,65.3,0.09604223254420369,0.09332102376164793,0.08396495864486953,0.10127801330778033,0.08006866036931717,0.09119131764250771,0.07553254812955856,0.07819527387619019,0.05133135989308357,0.08440828323364258,0.0675443783402443,0.0623076930642128
Qwen2.5-FAST-Bridge-RT-1,Qwen-FAST-Bridge-RT-1,58.6,0.07772088662100463,0.08240015483301386,0.07091633224822713,0.06330102074641474,0.05451783556036266,0.04710434463057466,0.0632544457912445,0.06683432310819626,0.048165686428546906,0.05236686393618584,0.043313607573509216,0.035650886595249176
Qwen2.5-OFT-Bridge-RT-1,Qwen-OFT-Bridge-RT-1,44.2,0.07578757764608664,0.07496968444343226,0.07328173355533006,0.22890770102425792,0.19877450268869995,0.2136070290262632,0.06411243230104446,0.06340236961841583,0.05065089091658592,0.19671598076820374,0.16999998688697815,0.1520709991455078
Qwen3-OFT-Bridge-RT-1,Qwen3VL-OFT-Bridge-RT-1,42.7,0.06901687897178385,0.07417036524829353,0.06644640631930217,0.203339695231819,0.1427193917296044,0.16279279486649834,0.05807692930102348,0.06147928908467293,0.04591715708374977,0.17825444042682648,0.1224852055311203,0.12801775336265564
spatialvla-sft-bridge,spatialvla-sft-bridge,42.7,0.10539469848195374,0.10433679291992308,0.10789849472209137,0.25351367889681875,0.25191541114410376,0.280840358130023,0.06313609331846237,0.06284023076295853,0.05502958595752716,0.10032544285058975,0.09884615242481232,0.1062426045536995
pi0-lerobot-bridge,pi0-lerobot-bridge,47.9,0.05504188244354566,0.055107424801679315,0.07163240222760454,0.4645032145573072,0.46406408303777735,0.47815080753503203,0.04428994283080101,0.044260356575250626,0.04727810621261597,0.42343196272850037,0.4231952428817749,0.3647337257862091
openvla-7b-bridge,openvla-7b-bridge,1.0,0.08501696761073035,0.08347934804656192,0.1162750179669603,0.37028751829885415,0.35900364216426206,0.6148035489094397,0.06218935176730156,0.061597637832164764,0.07047337293624878,0.24097633361816406,0.23792900145053864,0.43834322690963745
openvla-7b-bridge-ft-200k,openvla-7b-bridge-ft-200k,10.4,0.08299485439944444,0.08221261214729646,0.11123716867880491,0.32587172464852227,0.3199121352701131,0.5102061667328256,0.0642307698726654,0.06426035612821579,0.06550296396017075,0.23630179464817047,0.23387573659420013,0.3452071249485016
CogACT-Small,cogact-small-bridge,51.0,0.08613406978280902,0.0851754274574458,0.10341655240745914,0.9993215375113143,0.9432753297157745,0.41987680715404885,0.07582839578390121,0.07505917549133301,0.0715976357460022,1.0,0.93381667137146,0.30579882860183716
CogACT-Base,cogact-base-bridge,51.3,0.08656118281564101,0.08506351219954773,0.1121648219294081,0.9992512800148244,0.9369564932585619,0.5234827524736116,0.07227810472249985,0.0715976357460022,0.0772189348936081,1.0,0.9242011904716492,0.4059763550758362
CogACT-Large,cogact-large-bridge,58.3,0.089037086098107,0.08765288739455962,0.11612682536240031,0.9991913992746126,0.9317898197064123,0.5490890275618197,0.07482248544692993,0.07355029881000519,0.07807692885398865,1.0,0.917840301990509,0.42020711302757263
GR00T-N1.5-Bridge,groot-n15-bridge,36.5,0.06305553534780581,0.062421206047955154,0.059963602475734984,0.010845269621078556,0.010291015315481431,0.012995124822248506,0.052307698875665665,0.051804736256599426,0.04535502940416336,0.012869822792708874,0.012514792382717133,0.012810652144253254
GR00T-N1.6-Bridge,groot-n16-bridge,57.1,0.08848705182286552,0.0899337920717717,0.050025659551768145,0.30645901908437556,0.3059267182054181,0.17652835745974957,0.061834320425987244,0.06266272068023682,0.030680472031235695,0.20943787693977356,0.20730768144130707,0.09754437953233719
RT-1-X,rt1x-bridge,0.0,0.08257064868646699,,,0.9992123061438654,,,0.06896449625492096,,,1.0,,
Octo-base,octo-base-bridge,20.3,0.08877602681264143,,,0.9988025023936011,,,0.0671301782131195,,,1.0,,
