WidowX Robot,checkpoints,Spoon on cloth partial,Spoon on cloth entire,Carrot on plate partial,Carrot on plate entire,Stack partial,Stack entire,Eggplant in basket partial,Eggplant in basket entire,Avg-entire,Avg-all,,,,,,,,,,
RT-1-X,,4.20%,0,16.70%,0,0,0,3.30%,0,0,3.03%,,,,,,,,,,
Octo,,50%,33%,50%,25%,29.20%,0,40%,23.30%,20%,31%,,,,,,,,,,
OpenVLA,https://huggingface.co/openvla/openvla-7b,4.10%,0,33%,0,12.50%,0,8.30%,4.10%,0.01025,7.75%,,,,,,,,,,
RoboVLM,https://huggingface.co/robovlms/RoboVLMs,37.50%,20.80%,33.30%,25.00%,8.30%,8.30%,0,0,13.53%,16.65%,,,,,,,,,,
SpatialVLA,https://huggingface.co/collections/IPEC-COMMUNITY/foundation-vision-language-action-model-6795eb96a9c661f90236acbb,20.80%,16.70%,29.20%,25.00%,62.50%,29.20%,100%,100%,42.73%,47.93%,,,,,,,,,,
openpi0,https://huggingface.co/HaomingSong,45.80%,29.10%,25.00%,0%,50.00%,16.60%,91.60%,62.50%,27.05%,40.08%,,,,,,,,,,
openpi0-fast,https://huggingface.co/HaomingSong,62.50%,29.10%,58.50%,21.90%,54.00%,10.80%,83.30%,66.60%,32.10%,48.34%,,,,,,,,,,
lerobot-pi0,https://huggingface.co/HaomingSong,66.67%,50.00%,62.50%,41.67%,58.33%,29.17%,83.33%,70.83%,47.92%,57.81%,,,,,,,,,,
openpi-zero,https://github.com/allenzren/open-pi-zero (unofficial implementation and evaluation),,84.60%,,55.80%,,47.90%,,85.40%,68.43%,0.68425,,,,,,,,,,
GR00T,I AM TRING BY BEST TO SEARCH PARAMS (Jul 8),,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
hume,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
@contrib,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,
Google Robot,,coke can matching,,,,coke can variant,,,,move near,,drawer matching,,,drawer variant,,,apple in drawer,,#all,
,checkpoints,horizontal,vertical,standing,avg,horizontal,vertical,standing,avg,matching,variant,open,close,avg,open,close,avg,matching,variant,match avg,agg avg
RT-1 (Converged),,0.96,0.88,0.72,0.853,0.969,0.76,0.964,0.898,0.633,0.5,0.815,0.926,0.87,0.27,0.376,0.323,0.065,0.026,0.60525,0.43675
RT-1 (15%),,1,0.96,0.8,0.92,0.92,0.704,0.813,0.813,0.583,0.446,0.704,0.889,0.796,0.212,0.323,0.267,0.13,0.021,0.60725,0.38675
